AuId: 2205412309  CC: 36
AuId: 2306776828  CC: 1
AuId: 2099399379  CC: 714
AuId: 2255309414  CC: 102
AuId: 2014530249  CC: 8785
AuId: 2167194403  CC: 326
AuId: 2069769458  CC: 0
AuId: 2305326621  CC: 147
AuId: 2226833313  CC: 2
AuId: 1956811063  CC: 145
AuId: 2116477006  CC: 1380
AuId: 2223149260  CC: 2
AuId: 2146174796  CC: 11
AuId: 2005766576  CC: 0
AuId: 1987004084  CC: 72
AuId: 2315739112  CC: 62
AuId: 2293596173  CC: 50
AuId: 2189648676  CC: 0
AuId: 2163048655  CC: 6
AuId: 2153215516  CC: 268
AuId: 2229726406  CC: 6
AuId: 2135173113  CC: 36
AuId: 2308422371  CC: 8
AuId: 1997339721  CC: 2482
AuId: 2118061100  CC: 897
AuId: 2226142772  CC: 0
AuId: 2293652616  CC: 14
AuId: 2230877835  CC: 0
AuId: 2344193381  CC: 12
AuId: 2308154051  CC: 106
AuId: 2182543156  CC: 866
AuId: 2312980208  CC: 77
AuId: 226646136  CC: 32
AuId: 2121778705  CC: 33
AuId: 2299531042  CC: 413
AuId: 2122529577  CC: 1715
AuId: 2130874684  CC: 1143
AuId: 2253036949  CC: 184
AuId: 2315764259  CC: 4
AuId: 2109652921  CC: 53
AuId: 2315206232  CC: 62
AuId: 2145131698  CC: 63
AuId: 2102276339  CC: 9
AuId: 2294005639  CC: 6
AuId: 2103184892  CC: 1021
AuId: 2167961544  CC: 146
AuId: 2148233256  CC: 76
AuId: 2311857180  CC: 0
AuId: 2006505205  CC: 279
AuId: 2207766514  CC: 6
AuId: 2165596243  CC: 5
AuId: 2050523252  CC: 41
AuId: 2147441534  CC: 39
AuId: 2171588544  CC: 1
AuId: 2110484598  CC: 3522
AuId: 1987057275  CC: 3838
AuId: 2144973811  CC: 60
AuId: 230165040  CC: 20
AuId: 2229470348  CC: 3
AuId: 202306793  CC: 6
AuId: 2295888526  CC: 215
AuId: 2013163591  CC: 98
AuId: 2309228627  CC: 7
AuId: 2343926088  CC: 0
AuId: 2309209450  CC: 112
AuId: 2143844665  CC: 2
AuId: 2319736584  CC: 8
AuId: 2129257944  CC: 33
AuId: 2318403730  CC: 8
AuId: 2285556573  CC: 214
AuId: 2123632034  CC: 19
AuId: 2038233565  CC: 100
AuId: 2314219402  CC: 114
AuId: 2228359491  CC: 0
AuId: 2187063260  CC: 2247
AuId: 1990216778  CC: 29
AuId: 2222028845  CC: 30
AuId: 2030497115  CC: 87
AuId: 2149560607  CC: 59
AuId: 2308462352  CC: 58
AuId: 1945695089  CC: 38
AuId: 2314777722  CC: 26
AuId: 2140370914  CC: 6
AuId: 2228290273  CC: 0
AuId: 2110646216  CC: 16
AuId: 2018757391  CC: 79
AuId: 2162928572  CC: 212
AuId: 1988047222  CC: 3
AuId: 2303204696  CC: 6
AuId: 2160914601  CC: 909
AuId: 2310950501  CC: 293
AuId: 2303586738  CC: 264
AuId: 374618996  CC: 10
AuId: 2157736267  CC: 678
AuId: 2240937039  CC: 2
AuId: 1222581630  CC: 16
AuId: 1695856267  CC: 13
AuId: 2309500124  CC: 66
AuId: 2134397270  CC: 25
AuId: 1936030169  CC: 916
AuId: 2302620482  CC: 182
AuId: 2306216110  CC: 78
AuId: 2133771558  CC: 4
AuId: 2307846277  CC: 1
AuId: 2191025641  CC: 77
AuId: 2152780837  CC: 608
AuId: 2109739584  CC: 353
AuId: 2342763587  CC: 329
AuId: 2303286438  CC: 101
AuId: 296025730  CC: 3856
AuId: 2143299483  CC: 21
AuId: 2144519802  CC: 3782
AuId: 2138268926  CC: 9
AuId: 2109756154  CC: 4
AuId: 2338123817  CC: 8
AuId: 2149187113  CC: 1045
AuId: 2128881268  CC: 3020
AuId: 2307766386  CC: 2
AuId: 2227603219  CC: 110
AuId: 2224758218  CC: 2
AuId: 2320420593  CC: 603
AuId: 2224257050  CC: 1
AuId: 2327608299  CC: 1
AuId: 2176790058  CC: 29
AuId: 2337035824  CC: 0
AuId: 127122150  CC: 437
AuId: 2302993814  CC: 34
AuId: 2161531814  CC: 112
AuId: 2229244361  CC: 4
AuId: 2299621727  CC: 153
AuId: 2076196699  CC: 535
AuId: 1559661382  CC: 30
AuId: 2225246524  CC: 5
AuId: 2096352628  CC: 20
AuId: 2276591163  CC: 411
AuId: 710794751  CC: 438
AuId: 2328080191  CC: 3
AuId: 2136004617  CC: 891
AuId: 2226737130  CC: 2
AuId: 353235424  CC: 535
AuId: 2303359439  CC: 4
AuId: 2230989357  CC: 531
AuId: 2111836666  CC: 216
AuId: 2251315816  CC: 25
AuId: 2223042784  CC: 6
AuId: 2309031110  CC: 42
AuId: 2302650670  CC: 81
AuId: 2159980155  CC: 2
AuId: 2310554528  CC: 30
AuId: 2225144898  CC: 0
AuId: 2342540950  CC: 9
AuId: 2120488345  CC: 115
AuId: 2306081440  CC: 40
AuId: 2308279705  CC: 39
AuId: 2081055890  CC: 182
AuId: 1994979837  CC: 9
AuId: 323941202  CC: 1409
AuId: 2109301670  CC: 560
AuId: 2338406473  CC: 0
AuId: 2310984967  CC: 6
AuId: 960053677  CC: 8
AuId: 2135889784  CC: 142
AuId: 2310401531  CC: 72
AuId: 2343776025  CC: 6
AuId: 1277930686  CC: 1255
AuId: 2273091743  CC: 9
AuId: 2336933478  CC: 2
AuId: 2135143374  CC: 232
AuId: 2024856339  CC: 650
AuId: 2230823104  CC: 3
AuId: 2106082247  CC: 1
AuId: 2128974969  CC: 287
AuId: 1942387931  CC: 1084
AuId: 2311601720  CC: 392
AuId: 2229906269  CC: 0
AuId: 2032752226  CC: 1125
AuId: 2311667254  CC: 4
AuId: 2140427083  CC: 146
AuId: 2163377773  CC: 635
AuId: 2196012936  CC: 11
AuId: 2251974345  CC: 197
AuId: 2227020702  CC: 28
AuId: 2310315590  CC: 1587
AuId: 2335887736  CC: 36
AuId: 290407873  CC: 2286
AuId: 2248465331  CC: 8
AuId: 2128421361  CC: 119
AuId: 2000171442  CC: 7725
AuId: 2004699662  CC: 635
AuId: 2311770233  CC: 18
AuId: 2308457476  CC: 8
AuId: 2207110714  CC: 202
AuId: 2058387555  CC: 165
AuId: 2005232445  CC: 2
AuId: 2129576854  CC: 247
AuId: 2345846951  CC: 21
AuId: 1968728919  CC: 144
AuId: 2303217070  CC: 96
AuId: 2225465827  CC: 17
AuId: 2222546548  CC: 2
AuId: 2125282896  CC: 2363
AuId: 2140697189  CC: 8
AuId: 2304440788  CC: 1
AuId: 2309166585  CC: 5
AuId: 2306120546  CC: 157
AuId: 2160687610  CC: 2001
AuId: 2310427358  CC: 7136
AuId: 2230305710  CC: 2
AuId: 2275972134  CC: 126
AuId: 2227717982  CC: 8
AuId: 1854681969  CC: 236
AuId: 2160839465  CC: 172
AuId: 2127209894  CC: 47
AuId: 887523486  CC: 34
AuId: 2137632412  CC: 61
AuId: 2260372107  CC: 93
AuId: 2068201798  CC: 736
AuId: 2089943537  CC: 571
AuId: 1915893573  CC: 508
AuId: 2303651521  CC: 1
AuId: 1897575140  CC: 567
AuId: 2101177430  CC: 4
AuId: 2291286698  CC: 11
AuId: 2113085658  CC: 882
AuId: 2258588433  CC: 103
AuId: 1993416873  CC: 107
AuId: 2233963576  CC: 1
AuId: 2107460848  CC: 472
AuId: 2145903013  CC: 7
AuId: 2138086523  CC: 25
AuId: 2171413819  CC: 186
AuId: 2073433508  CC: 28
AuId: 2229535663  CC: 3
AuId: 2202126736  CC: 1359
AuId: 1997819181  CC: 1005
AuId: 330854202  CC: 55
AuId: 2000781665  CC: 924
AuId: 2124380789  CC: 4
AuId: 2313461850  CC: 0
AuId: 1887611790  CC: 1019
AuId: 397492107  CC: 23
AuId: 2035210171  CC: 2180
AuId: 2235080621  CC: 452
AuId: 1073934089  CC: 163
AuId: 326979990  CC: 148
AuId: 2139746168  CC: 189
AuId: 1211985172  CC: 1
AuId: 2106000936  CC: 89
AuId: 1980475787  CC: 103
AuId: 2229000015  CC: 26
AuId: 2053441322  CC: 200
AuId: 2141472596  CC: 1801
